File_Name;ID;Species_Name
Dypsis_acaulis_161017-1_S21_L001;DACA0;Dypsis_acaulis
Dypsis_acuminum_161213-3_S28_L001;DACU0;Dypsis_acuminum
Dypsis-aff-bejofo_S3_L001;DAFF0;Dypsis_aff_bejofo
Dypsis_albofarinosa_161213-10_S35_L001;DALB0;Dypsis_albofarinosa
Dypsis_ambanjae_45083_S47_L001;DAMB0;Dypsis_ambanjae
Dypsis_ambilaensis_45078_S46_L001;DAMB1;Dypsis_ambilaensis
Dypsis-ambositrae-SBL175-S45;DAMB2;Dypsis_ambositrae
Dypsis-andapae-SBL237;DAND0;Dypsis_andapae
Dypsis-andilamenensis-SBL276;DAND1;Dypsis_andilamenensis
Dypsis_andrianatonga_161213-5_S30_L001;DAND2;Dypsis_andrianatonga
Dypsis-angusta-SBL238;DANG0;Dypsis_angusta
Dypsis_angustifolia_161213-12_S37_L001;DANG1;Dypsis_angustifolia
Dypsis_ankirindro_45121_S55_L001;DANK0;Dypsis_ankirindro
Dypsis_antanambensis_161213-6_S31_L001;DANT0;Dypsis_antanambensis
Dypsis-aquatilis_S70_L001;DAQU0;Dypsis_aquatilis
Dypsis_arenarum_45089_S48_L001;DARE0;Dypsis_arenarum
Dypsis_baronii_161011-13_S8_L001;DBAR0;Dypsis_baronii
Dypsis_basilonga_161026-2_S6_L001;DBAS0;Dypsis_basilonga
Dypsis_beentjei_161213-7_S32_L001;DBEE0;Dypsis_beentjei
Dypsis_bejofo_45093_S50_L001;DBEJ0;Dypsis_bejofo
Dypsis_bernierana_161213-8_S33_L001;DBER0;Dypsis_bernierana
Dypsis-betamponensis-BKL107;DBET0;Dypsis_betamponensis
Dypsis-betamponensis-SBL310;DBET1;Dypsis_betamponensis
Dypsis_betsimisarakae_45011_S39_L001;DBET2;Dypsis_betsimisarakae
Dypsis_boiviniana_161213-11_S36_L001;DBOI0;Dypsis_boiviniana
Dypsis_bonsai_45108_S52_L001;DBON0;Dypsis_bonsai
Dypsis_bosseri_45019_S42_L001;DBOS0;Dypsis_bosseri
Dypsis-brevicaulis_S36_L001;DBRE0;Dypsis_brevicaulis
Dypsis-brittiana-SBL277;DBRI0;Dypsis_brittiana
Dypsis-cabadae-SBL194;DCAB0;Dypsis_cabadae
Dypsis-canaliculata-SBL275;DCAN0;Dypsis_canaliculata
Dypsis-carlsmithii_S41_L001;DCAR0;Dypsis_carlsmithii
Dypsis-catatiana_S47_L001;DCAT0;Dypsis_catatiana
Dypsis-caudata-SBL539;DCAU0;Dypsis_caudata
Dypsis_ceracea_45140_S56_L001;DCER0;Dypsis_ceracea
Dypsis-commersoniana-SBL240;DCOM0;Dypsis_commersoniana
Dypsis_concinna_45155_S60_L001;DCON0;Dypsis_concinna
Dypsis_confusa_161115-3_S17_L001;DCON1;Dypsis_confusa
Dypsis_cookei_161213-4_S29_L001;DCOO0;Dypsis_cookei
Dypsis-coriacea-SBL311;DCOR0;Dypsis_coriacea
Dypsis-corniculata-SBL525;DCOR1;Dypsis_corniculata
Dypsis_coursii_45109_S53_L001;DCOU0;Dypsis_coursii
Dypsis_crinita_161213-9_S34_L001;DCRI0;Dypsis_crinita
Dypsis_culminis_161213-2_S27_L001;DCUL0;Dypsis_culminis
Dypsis-curtisii-SBL279;DCUR0;Dypsis_curtisii
Dypsis-decaryi-SBL193-S47;DDEC0;Dypsis_decaryi
Dypsis_decipiens_45008_S38_L001;DDEC1;Dypsis_decipiens
Dypsis_delicatula_45068_S44_L001;DDEL0;Dypsis_delicatula
Dypsis_digitata_161011-15_S10_L001;DDIG0;Dypsis_digitata
Dypsis-dracaenoides_S19_L001;DDRA0;Dypsis_dracaenoides
Dypsis_dransfieldii_161017-6_S5_L001;DDRA1;Dypsis_dransfieldii
Dypsis_elegans_161011-20_S13_L001;DELE0;Dypsis_elegans
Dypsis_eriostachys_45117_S54_L001;DERI0;Dypsis_eriostachys
Dypsis-faneva_S66_L001;DFAN0;Dypsis_faneva
