Dypsis_acaulis;Dypsis acaulis
Dypsis_acuminum;Dypsis acuminum
Dypsis_aff_bejofo;Dypsis aff bejofo
Dypsis_albofarinosa;Dypsis albofarinosa
Dypsis_ambanjae;Dypsis ambanjae
Dypsis_ambilaensis;Dypsis ambilaensis
Dypsis_ambositrae;Dypsis ambositrae
Dypsis_andapae;Dypsis andapae
Dypsis_andilamenensis;Dypsis andilamenensis
Dypsis_andrianatonga;Dypsis andrianatonga
Dypsis_angusta;Dypsis angusta
Dypsis_angustifolia;Dypsis angustifolia
Dypsis_ankirindro;Dypsis ankirindro
Dypsis_antanambensis;Dypsis antanambensis
Dypsis_aquatilis;Dypsis aquatilis
Dypsis_arenarum;Dypsis arenarum
Dypsis_baronii;Dypsis baronii
Dypsis_basilonga;Dypsis basilonga
Dypsis_beentjei;Dypsis beentjei
Dypsis_bejofo;Dypsis bejofo
Dypsis_bernierana;Dypsis bernierana
Dypsis_betamponensis;Dypsis betamponensis
Dypsis_betsimisarakae;Dypsis betsimisarakae
Dypsis_boiviniana;Dypsis boiviniana
Dypsis_bonsai;Dypsis bonsai
Dypsis_bosseri;Dypsis bosseri
Dypsis_brevicaulis;Dypsis brevicaulis
Dypsis_brittiana;Dypsis brittiana
Dypsis_cabadae;Dypsis cabadae
Dypsis_canaliculata;Dypsis canaliculata
Dypsis_carlsmithii;Dypsis carlsmithii
Dypsis_catatiana;Dypsis catatiana
Dypsis_caudata;Dypsis caudata
Dypsis_ceracea;Dypsis ceracea
Dypsis_commersoniana;Dypsis commersoniana
Dypsis_concinna;Dypsis concinna
Dypsis_confusa;Dypsis confusa
Dypsis_cookei;Dypsis cookei
Dypsis_coriacea;Dypsis coriacea
Dypsis_corniculata;Dypsis corniculata
Dypsis_coursii;Dypsis coursii
Dypsis_crinita;Dypsis crinita
Dypsis_culminis;Dypsis culminis
Dypsis_curtisii;Dypsis curtisii
Dypsis_decaryi;Dypsis decaryi
Dypsis_decipiens;Dypsis decipiens
Dypsis_delicatula;Dypsis delicatula
Dypsis_digitata;Dypsis digitata
Dypsis_dracaenoides;Dypsis dracaenoides
Dypsis_dransfieldii;Dypsis dransfieldii
Dypsis_elegans;Dypsis elegans
Dypsis_eriostachys;Dypsis eriostachys
Dypsis_faneva;Dypsis faneva
Dypsis_fanjana;Dypsis fanjana
Dypsis_fasciculata;Dypsis fasciculata
Dypsis_fibrosa;Dypsis fibrosa
Dypsis_forficifolia;Dypsis forficifolia
Dypsis_gautieri;Dypsis gautieri
Dypsis_glabrescens;Dypsis glabrescens
Dypsis_gronophyllum;Dypsis gronophyllum
Dypsis_henrici;Dypsis henrici
Dypsis_heteromorpha;Dypsis heteromorpha
Dypsis_heterophylla;Dypsis heterophylla
Dypsis_hiarakae;Dypsis hiarakae
Dypsis_hildebrandtii;Dypsis hildebrandtii
Dypsis_hovomantsina;Dypsis hovomantsina
Dypsis_humbertii;Dypsis humbertii
Dypsis_humblotiana;Dypsis humblotiana
Dypsis_humilis;Dypsis humilis
Dypsis_ifanadianae;Dypsis ifanadianae
Dypsis_integra;Dypsis integra
Dypsis_intermedia;Dypsis intermedia
Dypsis_interrupta;Dypsis interrupta
Dypsis_jeremiei;Dypsis jeremiei
Dypsis_jumelleana;Dypsis jumelleana
Dypsis_jurassic_park;Dypsis jurassic park
Dypsis_laevis;Dypsis laevis
Dypsis_lanceolata;Dypsis lanceolata
Dypsis_lantzeana;Dypsis lantzeana
Dypsis_lanuginosa;Dypsis lanuginosa
Dypsis_lastelliana;Dypsis lastelliana
Dypsis_leptocheilos;Dypsis leptocheilos
Dypsis_leucomalla;Dypsis leucomalla
Dypsis_lilacina;Dypsis lilacina
Dypsis_linearis;Dypsis linearis
Dypsis_lokohoensis;Dypsis lokohoensis
Dypsis_louvelii;Dypsis louvelii
Dypsis_lutea;Dypsis lutea
Dypsis_lutescens;Dypsis lutescens
Dypsis_madagascar_foxtail;Dypsis madagascar foxtail
Dypsis_madagascariensis;Dypsis madagascariensis
Dypsis_mahia;Dypsis mahia
Dypsis_makirae;Dypsis makirae
Dypsis_malcomberi;Dypsis malcomberi
Dypsis_mananjarensis;Dypsis mananjarensis
Dypsis_mangorensis;Dypsis mangorensis
Dypsis_marojejyi;Dypsis marojejyi
Dypsis_mcdonaldiana;Dypsis mcdonaldiana
Dypsis_metallica;Dypsis metallica
Dypsis_minuta;Dypsis minuta
Dypsis_mirabilis_florencei;Dypsis mirabilis florencei
Dypsis_mirabilis;Dypsis mirabilis
Dypsis_mocquerysiana;Dypsis mocquerysiana
Dypsis_montana;Dypsis montana
Dypsis_moorei;Dypsis moorei
Dypsis_nauseosa;Dypsis nauseosa
Dypsis_nodifera;Dypsis nodifera
Dypsis_nossibensis;Dypsis nossibensis
Dypsis_occidentalis;Dypsis occidentalis
Dypsis_onilahensis;Dypsis onilahensis
Dypsis_onilahensis_Isalo_form;Dypsis onilahensis Isalo form
Dypsis_oreophila;Dypsis oreophila
Dypsis_oropedionis;Dypsis oropedionis
Dypsis_ovobontsira;Dypsis ovobontsira
Dypsis_ovojavavy;Dypsis ovojavavy
Dypsis_pachyramea;Dypsis pachyramea
Dypsis_paludosa;Dypsis paludosa
Dypsis_perrieri;Dypsis perrieri
Dypsis_pervillei;Dypsis pervillei
Dypsis_pilulifera;Dypsis pilulifera
Dypsis_pinnatifrons;Dypsis pinnatifrons
Dypsis_plumosa;Dypsis plumosa
Dypsis_poivreana;Dypsis poivreana
Dypsis_prestoniana;Dypsis prestoniana
Dypsis_procera;Dypsis procera
Dypsis_procumbens;Dypsis procumbens
Dypsis_psammophila;Dypsis psammophila
Dypsis_pulchella;Dypsis pulchella
Dypsis_pumila;Dypsis pumila
Dypsis_pusilla;Dypsis pusilla
Dypsis_pustulata;Dypsis pustulata
Dypsis_rabepierrei;Dypsis rabepierrei
Dypsis_rakotonasoloi;Dypsis rakotonasoloi
Dypsis_ramentacea;Dypsis ramentacea
Dypsis_reflexa;Dypsis reflexa
Dypsis_remotiflora;Dypsis remotiflora
Dypsis_rivularis;Dypsis rivularis
Dypsis_robusta;Dypsis robusta
Dypsis_rosea;Dypsis rosea
Dypsis_sahanofensis;Dypsis sahanofensis
Dypsis_saintelucei;Dypsis saintelucei
Dypsis_sanctaemariae;Dypsis sanctaemariae
Dypsis_sancta;Dypsis sancta
Dypsis_scandens;Dypsis scandens
Dypsis_schatzii;Dypsis schatzii
Dypsis_scottiana;Dypsis scottiana
Dypsis_serpentina;Dypsis serpentina
Dypsis_simianensis;Dypsis simianensis
Dypsis_singularis;Dypsis singularis
Dypsis_sp_bef;Dypsis sp bef
Dypsis_spicata;Dypsis spicata
Dypsis_sp_nov_aff_lutea;Dypsis sp nov aff lutea
Dypsis_sp_nov_sira;Dypsis sp nov sira
Dypsis_subacaulis;Dypsis subacaulis
Dypsis_tanalensis;Dypsis tanalensis
Dypsis_tenuissima;Dypsis tenuissima
Dypsis_thermarum;Dypsis thermarum
Dypsis_thiryana;Dypsis thiryana
Dypsis_tokoravina;Dypsis tokoravina
Dypsis_trapezoidea;Dypsis trapezoidea
Dypsis_tsaravoasira;Dypsis tsaravoasira
Dypsis_turkii;Dypsis turkii
Dypsis_utilis;Dypsis utilis
Dypsis_viridis;Dypsis viridis
Dypsis_vonitrandambo;Dypsis vonitrandambo
Lemurophoenix_halleuxii;Lemurophoenix halleuxii
Lemurophoenix_sp_Nov;Lemurophoenix sp Nov
Loxococcus_rupicola;Loxococcus rupicola
Marojejya_darianii;Marojejya darianii
Marojejya_insignis;Marojejya insignis
Marojejya_sp;Marojejya sp
Masoala_kona;Masoala kona
Masoala_madagascariensis;Masoala madagascariensis
